"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC13","I/O","",""
"3","PC14-OSC32_IN","I/O","RCC_OSC32_IN",""
"4","PC15-OSC32_OUT","I/O","RCC_OSC32_OUT",""
"5","PF0-OSC_IN","I/O","RCC_OSC_IN",""
"6","PF1-OSC_OUT","I/O","RCC_OSC_OUT",""
"7","PG10-NRST","I/O","",""
"8","PA0","I/O","TIM2_CH1","ENC_A"
"9","PA1","I/O","TIM2_CH2","ENC_B"
"10","PA2","I/O","USART2_TX","DEBUG_TX"
"11","PA3","I/O","USART2_RX","DEBUG_RX"
"12","PA4","I/O","ADC2_IN17","DRILL_ISNS"
"13","PA5","I/O","ADC2_IN13","DELIVERY_ISNS"
"14","PA6","I/O","TIM3_CH1","DRILL_IN1"
"15","PA7","I/O","TIM3_CH2","DRILL_IN2"
"16","PC4","I/O","",""
"17","PB0","I/O","GPIO_EXTI0","LIMIT_ARM"
"18","PB1","I/O","GPIO_EXTI1","LIMIT_BASE"
"19","PB2","Output","GPIO_Output","LED_RUN"
"20","VREF+","MonoIO","",""
"21","VDDA","Power","",""
"22","PB10","Output","GPIO_Output","LED_FAULT"
"23","VDD","Power","",""
"24","PB11","I/O","GPIO_EXTI11","BTN1"
"25","PB12","I/O","GPIO_EXTI12","BTN2"
"26","PB13","I/O","GPIO_EXTI13","BASE_NFAULT"
"27","PB14","I/O","ADC1_IN5","BASE_ISNS"
"28","PB15","I/O","ADC2_IN15","BASE_POT"
"29","PC6","I/O","",""
"30","PA8","I/O","TIM1_CH1","DELIVERY_IN1"
"31","PA9","I/O","TIM1_CH2","DELIVERY_IN2"
"32","PA10","I/O","GPIO_EXTI10","DELIVERY_NFAULT"
"33","PA11","I/O","",""
"34","PA12","I/O","",""
"35","VDD","Power","",""
"36","PA13","I/O","SYS_JTMS-SWDIO","SWDIO"
"37","PA14","I/O","SYS_JTCK-SWCLK","SWCLK"
"38","PA15","I/O","GPIO_EXTI15","DRILL_NFAULT"
"39","PC10","I/O","",""
"40","PC11","I/O","",""
"41","PB3","I/O","",""
"42","PB4","I/O","",""
"43","PB5","I/O","",""
"44","PB6","I/O","TIM4_CH1","BASE_IN1"
"45","PB7","I/O","TIM4_CH2","BASE_IN2"
"46","PB8-BOOT0","I/O","",""
"47","PB9","I/O","",""
"48","VDD","Power","",""
